frame,x1,y1,x2,y2,expID
False,1093.0,901.0,1115.0,949.0,1046
1830,1370.0,657.0,1397.0,699.0,1046
1470,1046.0,660.0,1076.0,683.0,1046
1530,1214.0,633.0,1247.0,658.0,1046
1500,1243.0,639.0,1282.0,657.0,1046
1430,1326.0,609.0,1345.0,652.0,1046
1950,1089.0,577.0,1102.0,623.0,1046
1580,1050.0,565.0,1074.0,622.0,1046
1870,1329.0,597.0,1369.0,611.0,1046
1660,1159.0,570.0,1178.0,603.0,1046
1370,1276.0,532.0,1309.0,567.0,1046
1380,1156.0,520.0,1198.0,536.0,1046
420,253.0,449.0,269.0,509.0,1046
1550,1107.0,389.0,1141.0,421.0,1046
1230,1138.0,260.0,1194.0,274.0,1046
