frame,x1,y1,x2,y2,expID
False,490.0,1049.0,547.0,1078.0,1047
430,899.0,890.0,921.0,925.0,1047
1940,994.0,868.0,1022.0,890.0,1047
False,834.0,854.0,857.0,889.0,1047
1940,1205.0,862.0,1233.0,886.0,1047
1840,1007.0,860.0,1069.0,878.0,1047
1940,1107.0,852.0,1155.0,868.0,1047
1940,1173.0,831.0,1202.0,859.0,1047
1560,916.0,843.0,958.0,858.0,1047
1940,1067.0,837.0,1106.0,856.0,1047
False,788.0,826.0,824.0,856.0,1047
1930,1052.0,821.0,1080.0,855.0,1047
1940,995.0,804.0,1007.0,850.0,1047
1940,1158.0,813.0,1190.0,839.0,1047
390,874.0,806.0,912.0,826.0,1047
1940,1037.0,807.0,1073.0,819.0,1047
1940,926.0,787.0,951.0,818.0,1047
1360,1087.0,801.0,1125.0,814.0,1047
1930,1177.0,779.0,1200.0,812.0,1047
1310,985.0,774.0,997.0,811.0,1047
1210,1203.0,771.0,1226.0,810.0,1047
1420,1133.0,794.0,1163.0,809.0,1047
1420,1158.0,758.0,1191.0,781.0,1047
1290,950.0,749.0,983.0,776.0,1047
1340,1114.0,755.0,1147.0,775.0,1047
1940,989.0,739.0,1004.0,771.0,1047
1200,1241.0,743.0,1271.0,763.0,1047
1330,931.0,733.0,951.0,758.0,1047
1940,902.0,729.0,930.0,755.0,1047
1720,1103.0,722.0,1125.0,751.0,1047
1000,854.0,716.0,870.0,751.0,1047
1930,1073.0,719.0,1113.0,732.0,1047
1820,892.0,708.0,917.0,730.0,1047
1940,919.0,701.0,935.0,728.0,1047
1330,938.0,702.0,962.0,727.0,1047
1890,1148.0,684.0,1169.0,710.0,1047
1940,1282.0,690.0,1313.0,710.0,1047
1940,1360.0,676.0,1384.0,709.0,1047
1040,1112.0,686.0,1137.0,708.0,1047
1940,1048.0,680.0,1073.0,703.0,1047
1400,1248.0,670.0,1274.0,697.0,1047
1940,966.0,669.0,984.0,697.0,1047
1400,1225.0,680.0,1256.0,696.0,1047
1170,946.0,654.0,964.0,686.0,1047
1930,1324.0,660.0,1359.0,683.0,1047
1340,975.0,640.0,987.0,682.0,1047
1850,991.0,641.0,1005.0,679.0,1047
1280,1276.0,655.0,1303.0,676.0,1047
1940,1079.0,650.0,1105.0,676.0,1047
1940,1385.0,636.0,1401.0,674.0,1047
1930,1177.0,640.0,1194.0,671.0,1047
1940,1038.0,656.0,1069.0,668.0,1047
1400,1155.0,643.0,1181.0,667.0,1047
1940,1012.0,639.0,1037.0,665.0,1047
1260,906.0,627.0,930.0,653.0,1047
1240,855.0,613.0,875.0,649.0,1047
1940,1085.0,614.0,1105.0,642.0,1047
1940,1197.0,605.0,1213.0,639.0,1047
1940,798.0,605.0,817.0,638.0,1047
1880,984.0,615.0,1014.0,636.0,1047
1000,1427.0,597.0,1457.0,630.0,1047
1940,843.0,590.0,859.0,624.0,1047
1940,1173.0,595.0,1196.0,624.0,1047
1160,982.0,589.0,1004.0,620.0,1047
1940,1057.0,598.0,1088.0,618.0,1047
1940,1172.0,572.0,1186.0,604.0,1047
1740,946.0,574.0,967.0,603.0,1047
1020,1414.0,562.0,1439.0,601.0,1047
False,654.0,574.0,685.0,601.0,1047
1460,1055.0,561.0,1069.0,600.0,1047
1940,1185.0,570.0,1200.0,597.0,1047
1150,1358.0,539.0,1388.0,597.0,1047
1930,967.0,568.0,998.0,590.0,1047
1940,1190.0,559.0,1215.0,590.0,1047
1930,1082.0,563.0,1100.0,589.0,1047
1940,1117.0,556.0,1131.0,584.0,1047
1930,1001.0,561.0,1029.0,582.0,1047
930,814.0,563.0,854.0,581.0,1047
1940,1249.0,552.0,1277.0,578.0,1047
1370,907.0,550.0,934.0,578.0,1047
1930,1315.0,546.0,1342.0,577.0,1047
1940,978.0,545.0,996.0,576.0,1047
1770,1046.0,546.0,1062.0,575.0,1047
1940,1157.0,552.0,1185.0,573.0,1047
1840,833.0,550.0,869.0,566.0,1047
1310,888.0,531.0,907.0,566.0,1047
1940,1026.0,524.0,1044.0,563.0,1047
1450,1046.0,536.0,1081.0,562.0,1047
1210,986.0,534.0,1007.0,560.0,1047
1410,1080.0,537.0,1103.0,560.0,1047
1840,850.0,527.0,865.0,558.0,1047
1940,1199.0,521.0,1216.0,558.0,1047
1940,958.0,534.0,985.0,554.0,1047
1930,1117.0,523.0,1133.0,554.0,1047
1940,1146.0,530.0,1161.0,554.0,1047
1940,1287.0,515.0,1305.0,551.0,1047
1940,1160.0,528.0,1187.0,549.0,1047
1940,1150.0,515.0,1170.0,541.0,1047
1740,996.0,504.0,1011.0,539.0,1047
1160,1341.0,498.0,1357.0,538.0,1047
1930,915.0,504.0,928.0,534.0,1047
1550,1259.0,502.0,1289.0,533.0,1047
1940,1081.0,515.0,1110.0,531.0,1047
1930,1177.0,494.0,1193.0,526.0,1047
False,440.0,509.0,482.0,523.0,1047
1930,1146.0,504.0,1178.0,523.0,1047
1920,1064.0,508.0,1097.0,522.0,1047
1940,961.0,484.0,972.0,521.0,1047
1460,761.0,496.0,790.0,521.0,1047
1380,848.0,496.0,883.0,519.0,1047
1940,1231.0,482.0,1244.0,518.0,1047
1340,1356.0,488.0,1380.0,510.0,1047
1940,1318.0,478.0,1334.0,510.0,1047
1740,1125.0,474.0,1148.0,507.0,1047
1940,1274.0,478.0,1291.0,506.0,1047
1940,1043.0,484.0,1069.0,505.0,1047
1940,844.0,470.0,859.0,500.0,1047
1940,1289.0,475.0,1315.0,500.0,1047
1910,970.0,482.0,1011.0,495.0,1047
1090,1395.0,467.0,1434.0,491.0,1047
